,min_years_of_experience,min_hourly_salary,max_hourly_salary,min_yearly_salary,max_yearly_salary,required_degree,remote_work,required_skills
0,3.0,,,131325.0,154500.0,,False,"['SQL', 'data modeling', 'Python', 'data visualization', 'communication', 'collaboration', 'analytical solutions']"
1,3.0,,,99900.0,133900.0,BS,False,"['SQL', 'data communication', 'data platforms', 'data visualization', 'project management', 'analytical']"
2,2.0,,,,,BS,True,"['data analysis', 'underwriting', 'stop-loss', 'Excel', 'SQL', 'Tableau', 'problem-solving', 'organizational skills']"
3,2.0,,,,,BS,False,"['SQL', 'data manipulation', 'data visualization', 'statistical analysis', 'modeling', 'data warehousing', 'ETL', 'A/B testing']"
4,1.0,,,61300.0,116500.0,BS/MS,False,"['SQL', 'Python', 'data modeling', 'visualization tools', 'business intelligence', 'digital analytics', 'project management']"
5,3.0,,,93400.0,131300.0,BS,True,"['SQL', 'SparkSQL', 'ETL', 'Project management', 'Python', 'R', 'Data visualization', 'Tableau', 'Looker']"
6,3.0,38.0,64.0,81120.0,133260.0,,True,"['SQL', 'Python', 'R', 'data visualization', 'Statistical Testing', 'A/B testing', 'data analysis', 'big data', 'data pipelines', 'data integration']"
7,,,,,,,False,"['data analysis', 'data management', 'data mining', 'business requirements', 'report presentation', 'relational databases', 'SQL', 'business solutions', 'process improvement', 'data governance', 'Data Management lifecycle', 'master data', 'project management methodologies', 'Scrum', 'Kanban', 'Waterfall', 'SAFe', 'project management tools', 'statistical analysis', 'SAS', 'SPSS', 'R']"
8,2.0,,,,,BS,False,"['data analytics', 'business analytics', 'cloud data platforms', 'SQL', 'Python', 'R', 'data visualization', 'statistical techniques', 'communication', 'problem-solving', 'project management']"
9,,,,,,BS,False,"['quantitative field', 'software development', 'analytical skills', 'problem-solving', 'data analysis', 'Python', 'SQL', 'R', 'communication skills', 'work ethic', 'Cloud technologies', 'relational database', 'team player']"
10,2.0,43.0,58.0,90000.0,120000.0,BS,,"['SQL', 'Python', 'teamwork', 'data analysis', 'dashboards']"
11,,,,,,BS,False,"['Data Visualization', 'Python', 'R', 'SQL', 'JavaScript', 'Google Analytics', 'Adobe Analytics', 'A/B Testing']"
12,4.0,83.0,93.0,,,BS/MS,True,"['SQL', 'Tableau', 'Power BI', 'data extraction', 'analytical skills', 'time management', 'project management', 'communication']"
13,,,,,,BS,False,"['data analysis', 'SQL', 'Python', 'R', 'statistical analysis', 'data visualisation', 'security concepts', 'communication']"
14,1.0,,,,,BS,False,"['data analysis', 'data visualization', 'statistical coding', 'machine learning', 'ETL processes', 'communication', 'organizational behavior']"
15,2.0,,,90000.0,140000.0,BS,False,"['SQL', 'data manipulation', 'data visualization', 'statistical analysis', 'A/B testing']"
16,2.0,35.0,40.0,70000.0,80000.0,BS,True,"['data analysis', 'healthcare coding', 'data visualization', 'communication', 'collaboration']"
17,,,,,,,False,"['communications skills', 'team player', 'pressure management', 'relationship building', 'strategic thinking', 'self-motivation', 'leadership', 'analytical skills', 'problem solving', 'data quality', 'operations experience', 'multi-tasking', 'data analysis']"
18,1.0,,,,,BS,False,"['data analysis', 'system development', 'business analysis', 'reporting tools', 'visualization tools', 'AI/ML knowledge', 'data querying', 'project management', 'analytical skills']"
19,2.0,,,,,BS,False,"['ETL Tools', 'BI Tools', 'Database systems', 'Programming Languages']"
20,,,,,,,True,"['Data Governance', 'Policies & Standards', 'Communication Skills', 'Power BI', 'Data Visualization']"
21,,,,,,,True,"['Data Collection', 'Data Cleaning', 'Database Management', 'Exploratory Data Analysis', 'Data Visualization', 'Communication', 'Stakeholder Collaboration', 'Statistical Analysis', 'Predictive Analysis', 'Domain Expertise']"
22,1.0,,,,,BS,False,"['SQL', 'Tableau', 'Power BI', 'Excel', 'Google Sheets', 'statistical analysis', 'data visualization', 'analytical thinking', 'communication', 'attention to detail', 'collaboration']"
23,5.0,,,114000.0,140000.0,Advanced degrees preferred,True,"['SQL', 'Python', 'problem-solving', 'analytical skills', 'communication', 'interpersonal skills', 'relationship building']"
24,5.0,,,,,BS,True,"['data analysis', 'SQL', 'database management', 'data warehousing', 'ETL processes', 'statistical methods', 'Power BI', 'MS Excel', 'analytical skills', 'problem-solving', 'communication skills']"
25,1.0,,,70000.0,80000.0,BS,False,"['analytical skills', 'SQL', 'Excel', 'programming', 'business acumen', 'problem solving', 'attention to detail']"
26,,,,,,MS,False,"['data analysis', 'data visualization', 'Microsoft Excel', 'statistical concepts', 'communication skills']"
27,8.0,,,,,,True,"['data analytics', 'SQL', 'Python', 'R', 'data visualization', 'Tableau', 'Power BI', 'cloud platforms', 'machine learning', 'statistical modeling', 'communication']"
28,1.0,,,70000.0,80000.0,BS,False,"['data analytics', 'business visualization', 'SQL', 'Python', 'communication']"
29,,,,,,,False,"['MicroStrategy', 'SQL', 'Excel', 'PowerPoint', 'SDLC']"
30,4.0,,,104000.0,146000.0,BS,False,"['data analysis', 'reporting', 'analytics', 'Excel', 'SQL', 'Tableau', 'communication', 'collaboration', 'presentation']"
31,3.0,,,,,,False,"['SQL', 'Spark', 'data visualization', 'communication', 'telemetry', 'Github', 'Airflow']"
32,5.0,,,,,,True,"['SQL', 'Data Visualization', 'Excel', 'PowerPoint', 'Communication', 'Critical Thinking', 'SDLC']"
33,,,,95000.0,105000.0,BS,True,"['Data Analysis', 'Tableau', 'Python', 'SQL', 'Cloud']"
34,2.0,,,85500.0,138000.0,,False,"['SQL', 'BI reporting', 'Python', 'R', 'project management']"
35,1.0,,,,,,False,"['PowerBI', 'reporting', 'analytics', 'SQL', 'data pipelines', 'Power Automate', 'data visualizations', 'customer service', 'Microsoft Office']"
36,8.0,,,,,MS,False,"['Power BI', 'DAX', 'SQL', 'data analysis', 'ETL/ELT', 'Python', 'Airflow', 'Azure', 'data modeling', 'data warehousing', 'communication', 'collaboration', 'SAS', 'data extraction', 'data cleansing', 'machine learning', 'data visualization', 'Tableau']"
37,5.0,45.0,55.0,,,,False,"['data analysis', 'SQL', 'reporting', 'relational databases', 'analytical skills', 'organizational skills']"
38,4.0,,,96000.0,140000.0,BS,False,"['data analysis', 'data visualization', 'CRM management', 'data cleaning', 'KPI tracking']"
39,2.0,,,,,BS,False,"['data visualization', 'data analysis', 'SQL', 'Excel', 'Tableau', 'R', 'SAS', 'Python', 'Power BI', 'databases']"
40,0.0,32.0,51.0,,,BS,False,"['analytical skills', 'database skills', 'product analysis', 'A/B testing', 'data visualization', 'digital customer journey', 'data extraction', 'data manipulation']"
41,5.0,,,87400.0,129340.0,BS/MS,False,"['data analysis', 'SQL', 'Python', 'R', 'telemetry', 'data visualization', 'project management']"
42,0.0,,,75000.0,,Technical/quantitative major,False,"['problem-solving', 'data', 'programming', 'python', 'R', 'SQL', 'Business Intelligence', 'Excel']"
43,2.0,,,,,BS,False,"['data analysis', 'data integrity', 'interpersonal skills', 'business intelligence tools', 'sql', 'problem-solving', 'data privacy regulations', 'statistical software', 'machine learning', 'data visualization', 'data cleaning and preparation', 'critical thinking', 'management', 'communication skills', 'database management', 'analytical skills', 'statistical analysis']"
44,3.0,,,77000.0,96250.0,BS,False,"['SQL', 'Python', 'data analysis', 'data visualization', 'ETL', 'data warehousing', 'problem solving', 'communication']"
